DEBUG:inflation:('chryslercirruslx1997', 2, 27823)
DEBUG:inflation:('chryslerconcordelx1997', 3, 27842)
DEBUG:inflation:('dodgeavengeres1997', 6, 27939)
DEBUG:inflation:('dodgeintrepides1997', 8, 27903)
DEBUG:inflation:('acuransxt2000', 12, 53110)
DEBUG:inflation:('fordmustanggt1997', 33, 51958)
DEBUG:inflation:('fordprobegt1997', 37, 51924)
DEBUG:inflation:('fordtaurussho1997', 44, 51905)
DEBUG:inflation:('hondaaccorddx1997', 68, 52006)
DEBUG:inflation:('hondaaccordlx1997', 72, 52004)
DEBUG:inflation:('hondacivicdx1997', 109, 52001)
DEBUG:inflation:('hondaciviclx1997', 114, 51998)
DEBUG:inflation:('hondacivicex1997', 118, 51999)
DEBUG:inflation:('hyundaielantragls1997', 136, 51922)
DEBUG:inflation:('hyundaisonatagl1997', 144, 51895)
DEBUG:inflation:('hyundaisonatagls1997', 148, 51897)
DEBUG:inflation:('kiasephiars1997', 153, 51483)
DEBUG:inflation:('kiasephials1997', 157, 51482)
DEBUG:inflation:('kiasephiags1997', 161, 51481)
DEBUG:inflation:('mazda626dx1997', 191, 52801)
DEBUG:inflation:('mazda626es1997', 193, 52800)
DEBUG:inflation:('mazda626lx1997', 194, 52799)
DEBUG:inflation:('mazdamillenial1997', 200, 52807)
DEBUG:inflation:('mazdamillenias1997', 202, 52805)
DEBUG:inflation:('mazdaprotegedx1997', 207, 51385)
DEBUG:inflation:('mazdaprotegelx1997', 209, 51383)
DEBUG:inflation:('mazdaprotegees1997', 211, 51384)
DEBUG:inflation:('mitsubishi3000gtsl1997', 255, 52773)
DEBUG:inflation:('mitsubishi3000gtvr-41997', 258, 52774)
DEBUG:inflation:('mitsubishieclipsegs1997', 259, 52781)
DEBUG:inflation:('mitsubishieclipsegsx1997', 265, 52784)
DEBUG:inflation:('mitsubishigalantde1997', 267, 52770)
DEBUG:inflation:('mitsubishigalantes1997', 270, 52769)
DEBUG:inflation:('buickskylarkcustom1998', 271, 53134)
DEBUG:inflation:('mitsubishigalantls1997', 272, 52768)
DEBUG:inflation:('mitsubishimiragels1997', 274, 52766)
DEBUG:inflation:('nissan240sxse1997', 277, 52870)
DEBUG:inflation:('nissanmaximagxe1997', 279, 52842)
DEBUG:inflation:('nissanmaximase1997', 281, 52840)
DEBUG:inflation:('nissanmaximagle1997', 284, 52841)
DEBUG:inflation:('buickregalgs1997', 291, 27825)
DEBUG:inflation:('buickregalls1997', 294, 27826)
DEBUG:inflation:('buicklesabrecustom1996', 301, 29304)
DEBUG:inflation:('buicklesabrelimited1996', 307, 29303)
DEBUG:inflation:('buickregalcustom1996', 313, 29306)
DEBUG:inflation:('buickskylarkcustom1996', 319, 29299)
DEBUG:inflation:('buickregalcustom1995', 327, 30631)
DEBUG:inflation:('buickcenturycustom1995', 329, 30642)
DEBUG:inflation:('buickregalcustom1995', 333, 30631)
DEBUG:inflation:('buickregallimited1995', 342, 30630)
DEBUG:inflation:('buickcenturyspecial1995', 346, 30643)
DEBUG:inflation:('buicklesabrecustom1994', 354, 27187)
DEBUG:inflation:('buicklesabrecustom1995', 367, 30638)
DEBUG:inflation:('buicklesabrelimited1995', 370, 30637)
DEBUG:inflation:('buickroadmasterlimited1995', 372, 30603)
DEBUG:inflation:('buickskylarkcustom1995', 378, 30564)
DEBUG:inflation:('buicklesabrelimited1994', 386, 27186)
DEBUG:inflation:('buickcenturycustom1994', 395, 27189)
DEBUG:inflation:('buickskylarkcustom1994', 397, 27111)
